Clade0,Clade1,Clade2,Clade3,Clade4,Clade5,Order,Stem or crown (order level),Family,N_extant,N_fossils,oldest_fossil,youngest_fossil,root_est,root_lower,root_upper,ext_est,ext_lower,ext_upper,q_est,q_lower,q_upper,a_est,a_lower,a_upper,sig2_est,sig2_lower,sig2_upper,Horizons,alpha,strat_range,marsh_origin_lower,marsh_origin_upper,marsh_ext_lower,marsh_ext_upper
Theriiformes,Theria,Eutheria,Metatheria,NA,NA,NA,Extinct order,Jaskhadelphyidae,0,4,66,19,86.73189872,66.01360229,126.037359,11.18960717,2.01499641,18.99815934,0.008959592,6.78E-05,0.028856051,1.385995435,0.000180026,3.830625859,0.773541515,-2.454320667,3.454819301,3,4.83,47,66,293.01,0,19
Theriiformes,NA,NA,Theriiformes,NA,NA,Eutriconodonta,Extinct order,Jeholodentidae,0,1,127,127,128.5447727,127.0001731,131.6999185,125.8110774,123.5030155,126.9998265,0.961090669,0.000229488,2.908468558,41.81373982,0.011540862,89.03400275,1.626511009,-0.990719202,3.911027575,1,NA,0,127,NA,NA,127
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Kekenodontidae,0,1,27,27,28.40298551,27.00012441,30.83614096,25.96120871,24.04728358,26.99981914,0.996773655,0.000574176,2.955242161,44.02875783,0.000211402,94.00349584,1.660182309,-0.997042492,3.869775406,1,NA,0,27,NA,NA,27
Theriiformes,Theria,Eutheria,Placentalia,Afrotheria,Afroinsectiphilia,Ptolemaiida,Extinct order,Kelbidae,0,2,18,17,19.05481233,18.00076583,21.02069154,16.29657749,15.15247393,16.99997506,1.329054522,0.000163664,3.59875204,40.24519791,0.016821902,87.5653964,1.515410645,-1.254044632,3.82615801,3,4.83,1,18,22.83,12.17,17
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Kentriodontidae,0,37,20,7,21.16828206,20.00097613,23.12180411,6.360874979,5.352647578,6.99953867,0.444092671,0.000382402,0.940052721,8.602192018,0.001048482,22.46573076,2.093050911,1.305287023,3.152799182,42,0.09,13,20,21.17,5.83,7
Theriiformes,NA,NA,NA,NA,NA,NA,Extinct order,Kermackiidae,0,3,122,120,123.0145197,122.0003043,124.9240115,119.3623185,118.3994025,119.9997951,1.249851506,0.009764024,3.34188827,48.28379753,0.046138676,94.3311224,0.920219065,-2.035709586,3.551179778,3,4.83,2,122,131.66,110.34,120
Theriiformes,Allotheria,NA,NA,NA,NA,Multituberculata,Extinct order,Kermackodontidae,0,2,168,167,168.9933295,168.0004335,170.9984313,166.264158,165.0623167,166.9995194,1.445917957,0.000120359,3.680900871,39.00167361,0.018882986,90.20095591,1.621821601,-1.001915446,3.921235709,2,28.83,1,168,196.83,138.17,167
Theriiformes,NA,NA,NA,NA,NA,Eutriconodonta,Extinct order,Klameliidae,0,2,166,165,167.0217267,166.0034555,168.9222497,164.2774017,163.0828863,164.9998808,1.362112235,0.005374596,3.616211523,42.42347694,0.013045021,94.09679968,1.635129893,-0.959194004,3.649932754,2,28.83,1,166,194.83,136.17,165
Theriiformes,Allotheria,NA,NA,NA,NA,Multituberculata,Extinct order,Kogaionidae,0,15,70,58,72.76864844,71.00055107,76.07654729,56.59830286,54.30294687,57.99972167,0.225844537,0.004104947,0.514567346,4.306636641,0.000205318,12.15090821,1.71460894,-0.188793195,3.388384088,13,0.36,12,70,74.32,53.68,58
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Kogiidae,2,13,11,1,13.6905512,12.00113221,17.11682656,0,0,0,0.208738123,0.003111728,0.505807944,7.829514162,0.000203884,19.70862989,1.826780962,-0.527118016,3.99545435,31,0.10501371,10,11,12.0501371,0,0
